Address A,Port A,Address B,Port B,Packet B to A Frames,Packet B to A Bytes,Packet A to B Frames,Packet A to B Bytes,Total Packet,Total Bytes,Relative Start,Duration
10.25.22.253:1787,208.80.154.234,80,31,38838,20,2396,51,41234,149868.56532,10.3315,
10.25.22.253:1786,208.80.154.234,80,12,10181,11,1701,23,11882,149868.554593,10.3422,
10.25.22.253:1785,208.80.154.234,80,9,6849,8,1217,17,8066,149868.553242,10.3436,
10.25.22.253:1783,208.80.154.240,80,20,21890,15,2631,35,24521,149868.028853,10.8117,
10.25.22.253:1789,208.80.154.240,80,63,85652,27,3054,90,88706,149868.81071,11.037,
10.25.22.253:1784,208.80.154.240,80,71,95170,37,4525,108,99695,149868.031101,11.7735,
10.21.22.10:46509,10.21.22.24,502,4,244,8,524,12,768,153870.547463,12.8134,
10.25.22.253:2546,10.25.22.250,80,22,150279,28,3135,50,153414,0.0,14.4554,
10.21.22.253:48155,10.21.22.23,502,6,388,7,428,13,816,154184.830284,15.0824,
10.21.22.10:33344,10.21.22.22,502,6,366,10,638,16,1004,153885.362954,15.1553,
10.21.22.10:33341,10.21.22.22,502,8,488,14,900,22,1388,153882.359044,15.3085,
10.21.22.10:33350,10.21.22.22,502,3,192,4,296,7,488,153896.678757,15.7388,
10.21.22.10:46492,10.21.22.24,502,10,590,11,759,21,1349,153859.112342,16.4458,
10.25.22.253:2344,192.190.173.45,80,885,1327052,419,27800,1304,1354852,1318656.487366,18.9969,
10.21.22.253:46146,10.21.22.23,502,4,256,5,302,9,558,154060.686839,19.5721,
10.21.22.253:58169,10.21.22.24,502,2,128,3,182,5,310,154078.31241,20.295,
10.21.22.10:33334,10.21.22.22,502,6,366,10,638,16,1004,153859.690709,26.4759,
10.21.22.10:33323,10.21.22.22,502,14,826,14,966,28,1792,153863.636523,27.7233,
10.21.22.10:32890,10.21.22.23,502,10,608,12,766,22,1374,153864.416813,30.0439,
10.2.2.2:37219,10.22.11.9,80,3,206,4,836,7,1042,161784.568206,30.091,
10.2.2.2:37218,10.22.11.9,80,3,206,4,836,7,1042,161754.496544,30.0946,
10.21.22.10:46501,10.21.22.24,502,20,1216,21,1292,41,2508,153850.454288,32.9069,
10.25.22.58:4444,10.25.22.253,2425,616,41914,0,0,616,41914,1318986.450383,73.0093,
10.25.22.58:4444,10.25.22.253,2425,0,0,781,286626,781,286626,1318986.347338,73.1124,
10.16.92.79:51085,10.16.92.103,80,105742,142895090,36543,2411838,142285,145306928,1318961.921952,103.8922,
10.25.22.253:1769,54.230.49.239,80,7,5609,7,1127,14,6736,149837.27982,115.5948,
10.25.22.253:1770,74.125.226.251,80,4,654,6,965,10,1619,149837.280218,115.5949,
10.25.22.253:1771,74.125.226.251,80,4,654,6,935,10,1589,149837.28065,115.5961,
10.25.22.253:1773,74.125.226.251,80,4,654,6,916,10,1570,149837.281546,115.5967,
10.25.22.253:1772,74.125.226.251,80,4,654,6,920,10,1574,149837.281199,115.5968,
10.25.22.253:1768,165.254.158.56,80,4,545,6,798,10,1343,149837.27905,115.6145,
10.25.22.253:1767,165.254.138.136,80,18,18384,14,2790,32,21174,149837.276701,115.6173,
10.25.22.253:1766,165.254.138.136,80,13,11395,13,2297,26,13692,149837.276476,115.6206,
10.25.22.253:1764,165.254.138.136,80,11,8502,13,2700,24,11202,149837.276,115.6212,
10.25.22.253:1765,165.254.138.136,80,21,24837,14,2391,35,27228,149837.27623,115.6228,
10.25.22.253:1761,165.254.138.136,80,62,83712,29,3910,91,87622,149837.065928,115.8277,
10.25.22.253:1762,165.254.138.136,80,73,101757,33,4088,106,105845,149837.067121,115.8289,
10.25.22.253:1779,72.21.214.3,443,20,13732,16,3800,36,17532,149855.167397,116.7816,
10.25.22.253:1778,72.21.214.3,443,22,14296,16,3785,38,18081,149855.167075,116.7828,
10.25.22.253:1781,72.21.214.3,443,13,8060,12,2791,25,10851,149855.168036,116.7893,
10.25.22.253:1780,72.21.214.3,443,15,9045,14,2896,29,11941,149855.167713,116.7897,
10.25.22.253:1777,72.21.214.3,443,18,10534,15,3758,33,14292,149855.164042,116.7901,
10.25.22.253:1754,74.125.226.228,80,6,2669,9,1871,15,4540,149830.754142,117.0866,
10.25.22.253:1759,74.125.226.199,443,11,4829,11,1051,22,5880,149832.149496,117.205,
10.25.22.253:1775,72.21.195.198,443,61,55956,35,10487,96,66443,149854.207443,117.7413,
10.25.22.253:1756,74.125.226.239,443,11,4829,11,1051,22,5880,149831.564605,117.7896,
10.25.22.253:1757,173.194.43.47,443,11,4829,11,1051,22,5880,149831.565929,117.8978,
10.25.22.253:1795,192.204.3.75,80,630,935522,263,15305,893,950827,149880.433121,120.9112,
10.25.22.253:1760,72.21.215.52,80,47,52459,27,4019,74,56478,149836.452405,133.4598,
10.25.22.253:1753,74.125.226.242,443,244,304207,139,19706,383,323913,149830.661756,148.1137,
10.25.22.253:2357,10.21.22.253,1225,4041,1878897,2840,828774,6881,2707671,1318697.243194,365.3883,
10.25.22.58:49318,10.25.22.20,44818,363,57034,350,54808,713,111842,257703.510721,1061361.9751,
