Address A,Port A,Address B,Port B,Packet B to A Frames,Packet B to A Bytes,Packet A to B Frames,Packet A to B Bytes,Total Packet,Total Bytes,Relative Start,Duration
10.25.22.253:62383,8.8.8.8,53,1,122,1,78,2,200,149867.926616,0.0299,
10.25.22.253:50244,8.8.8.8,53,1,133,1,78,2,211,149928.094035,0.0299,
10.25.22.253:59053,8.8.8.8,53,1,162,1,76,2,238,149869.958931,0.0299,
10.25.22.253:51282,8.8.8.8,53,1,84,1,68,2,152,149928.093957,0.03,
10.25.22.253:64681,8.8.8.8,53,1,162,1,76,2,238,149870.000183,0.03,
10.25.22.253:51266,8.8.8.8,53,1,162,1,76,2,238,149869.704823,0.03,
10.25.22.253:55342,8.8.8.8,53,1,162,1,76,2,238,149870.448379,0.0302,
10.25.22.253:60025,8.8.8.8,53,1,163,1,77,2,240,149870.92213,0.0302,
10.25.22.253:64750,8.8.8.8,53,1,162,1,76,2,238,149870.35896,0.0303,
10.25.22.253:51937,8.8.8.8,53,1,162,1,76,2,238,149869.386848,0.0304,
10.25.22.253:59090,8.8.8.8,53,1,185,1,80,2,265,149928.147924,0.0304,
10.25.22.253:62621,8.8.8.8,53,1,163,1,77,2,240,149870.572389,0.0306,
10.25.22.253:62592,8.8.8.8,53,1,109,1,75,2,184,149837.813208,0.0306,
10.25.22.253:64692,8.8.8.8,53,1,163,1,77,2,240,149871.049871,0.0309,
10.25.22.253:61377,8.8.8.8,53,1,163,1,77,2,240,149870.841009,0.031,
10.25.22.252:48649,8.8.8.8,53,1,85,1,85,2,170,257712.959812,0.0311,
10.25.22.253:62429,8.8.8.8,53,1,162,1,76,2,238,149870.38029,0.0311,
10.25.22.253:64898,8.8.8.8,53,1,162,1,76,2,238,149870.55189,0.0312,
10.25.22.253:51570,8.8.8.8,53,1,126,1,80,2,206,149867.928638,0.0313,
10.25.22.253:60508,8.8.8.8,53,1,293,1,83,2,376,149837.031664,0.0314,
10.25.22.253:61145,8.8.8.8,53,1,163,1,77,2,240,149870.612906,0.0315,
10.25.22.253:51252,8.8.8.8,53,1,168,1,82,2,250,149870.018935,0.0319,
10.25.22.253:59337,8.8.8.8,53,1,91,1,75,2,166,1318671.403701,0.0321,
10.25.22.253:56431,8.8.8.8,53,1,162,1,76,2,238,149870.152535,0.0324,
10.25.22.253:58980,8.8.8.8,53,1,241,1,70,2,311,149837.030926,0.0326,
10.25.22.253:64679,8.8.8.8,53,1,162,1,76,2,238,149869.853059,0.0328,
10.25.22.253:49435,8.8.8.8,53,1,162,1,76,2,238,149869.502096,0.0328,
10.25.22.253:62602,8.8.8.8,53,1,162,1,76,2,238,149869.614545,0.0329,
10.25.22.253:51567,8.8.8.8,53,1,162,1,76,2,238,149870.472955,0.0331,
10.25.22.253:58074,8.8.8.8,53,1,147,1,83,2,230,149820.222523,0.0332,
10.25.22.253:65447,8.8.8.8,53,1,89,1,73,2,162,1318661.194978,0.0332,
10.25.22.253:50750,8.8.8.8,53,1,131,1,78,2,209,149837.030526,0.0334,
10.25.22.253:59521,8.8.8.8,53,1,124,1,77,2,201,149854.267626,0.0337,
10.25.22.253:60476,8.8.8.8,53,1,108,1,72,2,180,149836.415067,0.0337,
10.25.22.253:51218,8.8.8.8,53,1,162,1,76,2,238,149870.308279,0.034,
10.25.22.253:64677,8.8.8.8,53,1,166,1,80,2,246,149869.735896,0.0347,
10.25.22.253:50147,8.8.8.8,53,1,163,1,77,2,240,149870.458665,0.0348,
10.25.22.253:57752,8.8.8.8,53,1,126,1,80,2,206,149868.774393,0.0348,
10.25.22.253:54762,8.8.8.8,53,1,163,1,77,2,240,149870.717704,0.035,
10.25.22.253:61987,8.8.8.8,53,1,162,1,76,2,238,149869.815745,0.0355,
10.25.22.253:53387,8.8.8.8,53,1,163,1,77,2,240,149871.118482,0.0356,
10.21.22.253:51246,8.8.8.8,53,1,84,1,84,2,168,154108.014905,0.0357,
10.25.22.253:56151,8.8.8.8,53,1,149,1,82,2,231,149928.412124,0.0357,
10.25.22.253:55030,8.8.8.8,53,1,162,1,76,2,238,149869.695777,0.0359,
10.25.22.253:56111,8.8.8.8,53,1,90,1,74,2,164,149928.3464,0.0361,
10.25.22.253:56792,8.8.8.8,53,1,162,1,76,2,238,149870.052456,0.0362,
10.25.22.253:64709,8.8.8.8,53,1,88,1,72,2,160,1318670.254797,0.0364,
10.25.22.253:61172,8.8.8.8,53,1,162,1,76,2,238,149869.587749,0.0365,
10.25.22.253:65143,8.8.8.8,53,1,162,1,76,2,238,149870.85292,0.0366,
10.25.22.253:62008,8.8.8.8,53,1,85,1,69,2,154,149928.134079,0.0366,
10.25.22.253:59158,8.8.8.8,53,1,167,1,81,2,248,149870.955166,0.037,
10.25.22.253:64694,8.8.8.8,53,1,155,1,79,2,234,149874.748017,0.037,
10.25.22.253:61060,8.8.8.8,53,1,169,1,78,2,247,149928.279211,0.0373,
10.25.22.253:60731,8.8.8.8,53,1,162,1,76,2,238,149870.994016,0.0376,
10.25.22.253:49376,8.8.8.8,53,1,166,1,80,2,246,149870.782591,0.0376,
10.25.22.253:50141,8.8.8.8,53,1,163,1,77,2,240,149870.983905,0.0376,
10.25.22.253:64672,8.8.8.8,53,1,279,1,79,2,358,149831.981868,0.0376,
10.25.22.253:60019,8.8.8.8,53,1,94,1,78,2,172,149928.41881,0.0378,
